Ref,Producto,Marca,Categoria,Proveedor,Canales
PST22 KO,KONG PERRO SQUEEZZ DENTAL BONE MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
PTB21 KO,KONG PERRO BAMBOO FEEDER BALL MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
PTB22 KO,KONG PERRO BAMBOO FEEDER DUMBBELL MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
PW1 KO,KONG PERRO CAUCHO WOBBLER LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
PW2 KO,KONG PERRO CAUCHO WOBBLER SMALL-MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RLR11 KO,KONG PERRO PELUCHE CUTESEAS RUFFLEZ TIBURON  M-L,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RSP21 KO,KONG PERRO PELUCHE SHERPS LLAMA MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RSP22 KO,KONG PERRO PELUCHE SHERPS YAK MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RSPF23 KO,KONG PERRO PELUCHE SHERPS FLOOFS MOOSE MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RZPU04 KO,KONG PERRO JUGUETE POP-UPZ BY ROGZ LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
RZSC01 KO,KONG PERRO JUGUETE SCRUBZ BY ROGZ SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SKB2 KO,KONG PERRO PELOTAS SIGNATURE MEDIUM X 2,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZ22 KO,KONG PERRO PELUCHE SNUZZLES KOALA MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZ23 KO,KONG PERRO PELUCHE SNUZZLES OSO MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZ24 KO,KONG PERRO PELUCHE SNUZZLES CONEJO MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZM51 KO,KONG PERRO PELUCHE SNUZZLES MINI SAPO XSMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZM52 KO,KONG PERRO PELUCHE SNUZZLES MINI CERDO XSMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
SNZM53 KO,KONG PERRO PELUCHE SNUZZLES MINI PATO XSMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
T1 KO,KONG PERRO CAUCHO CLASSIC PORTAPASABOCAS LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
T2 KO,KONG PERRO CAUCHO CLASSIC PORTAPASABOCAS MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
T3 KO,KONG PERRO CAUCHO CLASSIC PORTAPASABOCAS SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
TGS2 KO,KONG PERRO CAUCHO CLASSIC RIBBON MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
TSP1 KO,KONG PERRO DISPENSADOR SCUTTLE POD LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
UB1 KO,KONG PERRO CAUCHO EXTREME PELOTA MEDIUM-LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
UB2 KO,KONG PERRO CAUCHO EXTREME PELOTA SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
UF3 KO,KONG PERRO CAUCHO EXTREME FRISBEE LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
